topic,hashtags,duration,caption
news,"update, international, local",10.25,The latest update on international.
gaming,strategy,32.97,The future of gaming with strategy.
news,"international, update, local",28.53,Global reaction to update.
tech,robotics,29.8,The next big thing in tech: robotics.
food,"grill, dessert",34.73,A cultural dive into dessert cuisine.
fashion,"designers, summer, runway",50.93,How designers is reshaping runway looks.
sports,"fitness, football",27.99,The hidden benefits of football in daily life.
art,"culture, digitalart",50.27,Celebrating creativity through digitalart.
sports,football,15.46,How football builds community and strength.
food,"dessert, vegan, pasta",50.91,A cultural dive into vegan cuisine.
music,"live, rap, pop",44.91,The controversy around live in music.
food,vegan,33.95,A cultural dive into vegan cuisine.
music,"live, pop, AI",35.09,The controversy around live in music.
gaming,"streaming, esports",21.1,Why everyone is talking about esports.
sports,olympics,37.43,The hidden benefits of olympics in daily life.
music,"AI, rap, live",30.49,How AI shaped modern sound.
tech,startups,13.99,How startups is changing the future of technology.
sports,training,47.79,How training builds community and strength.
sports,training,45.24,How training builds community and strength.
music,"live, AI, legends",18.31,The controversy around AI in music.
tech,"robotics, startups",45.57,Exploring the impact of startups in today's world.
sports,"training, football, worldcup",32.96,Why training is more exciting than ever.
fashion,"runway, summer",52.71,This season’s top trends in runway.
music,"rap, AI, legends",54.45,How rap shaped modern sound.
food,pasta,33.02,A cultural dive into pasta cuisine.
music,"pop, rap",26.66,The controversy around pop in music.
fashion,vintage,48.73,The timeless appeal of vintage in fashion.
fashion,"trendy, designers, summer",27.55,The timeless appeal of designers in fashion.
tech,"robotics, AI, innovation",55.56,The next big thing in tech: AI.
fashion,trendy,55.88,The timeless appeal of trendy in fashion.
art,"gallery, modern",20.99,Celebrating creativity through gallery.
music,"AI, rap",50.02,The controversy around AI in music.
sports,"fitness, olympics, worldcup",43.02,How fitness builds community and strength.
gaming,"esports, streaming, update",38.7,The future of gaming with streaming.
music,"AI, pop, live",34.5,How live shaped modern sound.
tech,"AI, robotics, innovation",59.92,How AI is changing the future of technology.
gaming,streaming,38.26,streaming is changing how we play.
sports,"football, fitness, olympics",25.5,How fitness builds community and strength.
art,"culture, exhibition, modern",33.97,How modern is redefining the art scene.
art,"modern, culture",44.77,Celebrating creativity through modern.
gaming,rpg,27.68,Why everyone is talking about rpg.
sports,"fitness, worldcup, training",53.64,Why worldcup is more exciting than ever.
fashion,runway,18.26,How runway is reshaping runway looks.
food,fusion,10.64,Why everyone’s craving fusion this season.
art,"gallery, digitalart",22.07,The evolution of modern gallery.
news,"election, international",43.27,The latest update on election.
tech,"5G, startups, innovation",49.65,The next big thing in tech: innovation.
